ItemCode,#sales,stage,DailySales
24136,140,validation,"[4, 8, 5, 7, 6, 3, 6, 0, 1, 2, 6, 5, 7, 3, 9, 8, 7, 45, 51, 18, 3, 8, 2, 3, 3, 11, 2, 7, 8, 1, 4, 3, 17, 6, 1, 4, 0, 2, 5, 0, 0, 3, 8, 1, 0, 1, 1, 2, 0, 1, 2, 0, 7, 3, 2, 1, 4, 2, 3, 0, 7, 3, 2, 4, 4, 5, 5, 4, 6, 0, 1, 3, 4, 4, 2, 2, 5, 1, 0, 2, 4, 4, 3, 8, 10, 2, 0, 4, 6, 5, 3, 4, 1, 2, 3, 1, 0, 3, 15, 5, 4, 10, 6, 3, 2, 3, 1, 2, 3, 6, 9, 12, 11, 5, 9, 10, 13, 4, 2, 1, 3, 0, 1, 1, 4, 3, 1, 4, 2, 11, 1, 1, 1, 4, 6, 2, 3, 1, 4, 3]"
30877,140,validation,"[11, 6, 4, 6, 10, 9, 10, 19, 9, 7, 2, 4, 9, 5, 5, 7, 9, 12, 15, 1, 12, 4, 1, 6, 10, 10, 12, 9, 9, 3, 11, 7, 9, 3, 10, 22, 10, 11, 22, 29, 23, 41, 9, 4, 3, 9, 3, 10, 2, 7, 13, 6, 4, 10, 7, 9, 12, 8, 11, 13, 8, 10, 25, 9, 23, 10, 27, 18, 20, 15, 7, 10, 6, 7, 10, 3, 6, 2, 7, 9, 6, 18, 11, 13, 6, 8, 6, 9, 5, 6, 11, 12, 0, 7, 3, 5, 4, 2, 13, 10, 7, 10, 13, 14, 9, 9, 7, 2, 32, 4, 6, 11, 13, 18, 30, 13, 21, 37, 6, 15, 4, 11, 11, 8, 15, 11, 2, 15, 9, 12, 14, 7, 11, 10, 14, 24, 15, 6, 8, 17]"
32245,140,test,"[15, 6, 5, 3, 12, 5, 3, 4, 10, 4, 2, 7, 2, 3, 1, 1, 8, 16, 3, 3, 6, 11, 2, 4, 1, 2, 7, 8, 4, 6, 0, 0, 4, 5, 2, 0, 3, 13, 1, 5, 3, 3, 3, 2, 12, 8, 6, 4, 4, 2, 7, 9, 5, 1, 0, 6, 6, 2, 9, 10, 1, 5, 1, 9, 8, 12, 3, 3, 1, 15, 9, 6, 1, 1, 3, 0, 2, 9, 0, 3, 12, 4, 13, 6, 8, 6, 4, 11, 4, 2, 5, 2, 1, 4, 4, 59, 5, 2, 2, 1, 5, 1, 5, 0, 2, 12, 5, 5, 28, 2, 9, 4, 2, 1, 5, 10, 10, 10, 3, 6, 7, 5, 1, 6, 0, 4, 24, 4, 12, 6, 2, 2, 18, 10, 6, 7, 1, 1, 6, 8]"
35449,139,test,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 1, 2, 1, 0, 1, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 3, 0, 1, 0, 0, 3, 0, 1, 1, 0, 1, 16, 0, 0, 0, 2, 3, 2, 0, 0, 3, 1, 4, 1, 0, 18, 1, 0, 3, 2, 3, 3, 1, 0, 3, 5, 0, 12, 5, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 5, 0, 0, 6, 1, 1, 5, 1, 0, 3, 1, 4, 1, 1, 3, 0, 1, 0, 2, 4, 0, 2, 1, 3, 5, 1, 4, 2, 7, 6, 3, 1, 2, 2, 7, 8, 8, 3, 3, 0, 0, 1, 1, 1]"
35530,137,test,"[2, 0, 0, 0, 1, 11, 1, 2, 6, 10, 2, 3, 2, 2, 2, 3, 0, 1, 0, 2, 2, 0, 2, 2, 1, 0, 0, 12, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 12, 0, 0, 1, 4, 2, 0, 0, 0, 1, 0, 0, 8, 2, 0, 8, 1, 1, 0, 2, 1, 0, 0, 1, 2, 0, 2, 10, 0, 9, 0, 0, 0, 0, 0, 3, 3, 0, 0, 1, 0, 10, 1, 2, 2, 1, 0, 0, 2, 1, 1, 0, 2, 2, 2, 3, 1, 2, 0, 3, 5, 7, 1, 1, 6, 0, 0, 2, 0, 5, 0, 4, 0, 1, 0, 0, 3, 11, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 0, 0, 1, 2, 7]"
35584,139,test,"[1, 0, 2, 0, 2, 0, 0, 1, 1, 0, 0, 1, 3, 0, 0, 1, 0, 1, 0, 2, 0, 1, 0, 2, 0, 1, 1, 0, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 2, 1, 0, 1, 1, 2, 2, 0, 1, 0, 0, 4, 0, 3, 0, 0, 0, 1, 2, 1, 7, 1, 0, 13, 2, 0, 2, 1, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 3, 2, 5, 2, 1, 1, 8, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 3, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 4, 0, 2, 2, 0, 2, 1, 2, 0, 1]"
36898,140,validation,"[6, 6, 5, 12, 0, 19, 6, 9, 6, 3, 4, 1, 9, 5, 15, 4, 2, 7, 45, 4, 7, 6, 12, 9, 4, 6, 29, 13, 12, 5, 13, 9, 14, 13, 16, 4, 8, 10, 10, 3, 5, 10, 9, 12, 9, 18, 7, 7, 3, 7, 25, 3, 5, 9, 15, 7, 12, 7, 7, 4, 25, 12, 14, 7, 15, 8, 6, 12, 14, 9, 11, 18, 6, 5, 10, 5, 14, 7, 11, 8, 15, 5, 13, 10, 17, 10, 6, 6, 8, 11, 12, 20, 16, 2, 28, 2, 7, 16, 19, 20, 13, 3, 16, 12, 17, 8, 29, 5, 17, 15, 40, 19, 17, 3, 7, 7, 9, 7, 8, 10, 7, 5, 14, 11, 17, 4, 8, 12, 11, 13, 4, 11, 15, 12, 5, 10, 10, 10, 9, 16]"
37510,140,validation,"[1, 0, 0, 0, 0, 0, 11, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 3, 0, 0, 2, 1, 1, 1, 2, 1, 3, 0, 2, 1, 9, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 2, 3, 1, 4, 1, 1, 1, 0, 2, 3, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 2, 3, 2, 1, 1, 0, 3, 1, 1, 0, 0, 1, 2, 2, 0, 2, 0, 0, 0, 0, 2, 3, 1, 0, 1, 1, 1, 2, 0, 0, 3, 3, 1, 1, 4, 0, 1, 1, 1, 0, 1, 1]"
37861,140,test,"[8, 49, 20, 25, 14, 23, 1, 43, 49, 13, 17, 25, 0, 16, 15, 4, 12, 9, 12, 10, 19, 8, 6, 14, 14, 13, 18, 8, 36, 14, 22, 26, 9, 12, 31, 23, 26, 16, 17, 4, 11, 13, 12, 14, 9, 25, 4, 24, 8, 12, 7, 3, 16, 8, 10, 36, 39, 26, 8, 9, 35, 16, 21, 10, 13, 27, 18, 39, 9, 5, 20, 20, 16, 8, 1, 13, 22, 24, 8, 15, 10, 7, 22, 22, 18, 44, 20, 19, 22, 16, 18, 21, 5, 9, 46, 19, 58, 6, 14, 21, 42, 36, 25, 11, 18, 37, 15, 2, 22, 23, 18, 12, 13, 26, 12, 16, 32, 26, 14, 31, 23, 23, 36, 32, 23, 117, 12, 1, 20, 14, 63, 16, 64, 30, 31, 21, 32, 17, 37, 25]"
38518,140,test,"[2, 5, 2, 0, 7, 3, 12, 2, 1, 0, 1, 1, 1, 0, 4, 1, 5, 1, 1, 0, 0, 9, 4, 4, 3, 0, 0, 1, 2, 1, 2, 0, 2, 0, 0, 1, 2, 1, 0, 1, 0, 3, 1, 2, 1, 0, 0, 2, 1, 5, 1, 3, 1, 0, 0, 0, 0, 9, 8, 1, 0, 0, 1, 6, 2, 4, 1, 2, 3, 0, 15, 4, 3, 1, 1, 4, 4, 0, 4, 2, 2, 1, 2, 2, 4, 0, 1, 5, 0, 1, 1, 3, 4, 4, 2, 3, 7, 3, 4, 6, 5, 1, 6, 0, 1, 3, 2, 4, 1, 6, 1, 1, 0, 1, 2, 4, 1, 1, 1, 2, 5, 4, 2, 1, 4, 0, 6, 1, 3, 4, 2, 6, 2, 11, 6, 4, 8, 4, 3, 1]"
39436,140,validation,"[60, 57, 22, 12, 28, 28, 32, 6, 41, 14, 33, 23, 26, 8, 0, 2, 1, 5, 0, 2, 11, 2, 3, 3, 4, 4, 2, 4, 3, 2, 3, 6, 2, 2, 2, 2, 1, 0, 8, 2, 2, 1, 2, 3, 3, 0, 2, 2, 3, 0, 2, 1, 2, 1, 0, 1, 5, 0, 1, 5, 0, 0, 2, 2, 1, 1, 1, 1, 2, 0, 3, 2, 1, 1, 2, 0, 12, 2, 3, 2, 4, 2, 2, 3, 3, 1, 1, 1, 4, 1, 2, 5, 1, 1, 10, 0, 0, 0, 2, 3, 1, 0, 6, 5, 2, 1, 0, 0, 3, 4, 8, 0, 5, 2, 0, 1, 1, 6, 3, 3, 2, 5, 3, 0, 2, 4, 1, 2, 6, 2, 3, 0, 4, 2, 4, 8, 3, 2, 1, 5]"
40759,140,validation,"[12, 14, 12, 8, 12, 5, 3, 10, 15, 6, 4, 9, 7, 6, 7, 9, 4, 5, 6, 7, 3, 18, 3, 1, 17, 4, 3, 8, 9, 16, 5, 11, 11, 11, 19, 2, 2, 6, 6, 6, 2, 3, 6, 5, 7, 10, 0, 7, 9, 2, 2, 4, 8, 4, 5, 8, 6, 14, 11, 10, 11, 10, 4, 10, 11, 7, 6, 14, 13, 14, 16, 12, 12, 23, 18, 10, 23, 15, 11, 22, 25, 35, 26, 22, 28, 12, 7, 9, 4, 10, 10, 27, 5, 4, 9, 8, 0, 3, 7, 2, 8, 10, 6, 6, 16, 12, 7, 2, 8, 4, 5, 3, 8, 7, 3, 3, 10, 10, 7, 12, 11, 5, 9, 6, 10, 9, 9, 3, 7, 2, 2, 7, 6, 6, 3, 0, 6, 9, 4, 9]"
41830,140,validation,"[1, 2, 0, 4, 2, 1, 3, 2, 3, 2, 4, 0, 1, 2, 4, 2, 2, 2, 1, 0, 1, 8, 0, 0, 2, 1, 1, 3, 5, 5, 3, 2, 0, 2, 1, 2, 0, 1, 0, 0, 1, 1, 0, 1, 4, 1, 1, 2, 2, 5, 8, 5, 5, 6, 2, 6, 4, 3, 2, 0, 2, 7, 0, 4, 0, 1, 2, 1, 2, 2, 1, 4, 1, 5, 6, 1, 0, 2, 2, 4, 5, 3, 2, 1, 3, 2, 1, 1, 2, 2, 6, 5, 5, 4, 4, 3, 2, 4, 3, 3, 0, 2, 4, 1, 3, 1, 3, 0, 3, 1, 4, 3, 3, 1, 1, 1, 4, 3, 3, 3, 1, 0, 4, 5, 2, 2, 2, 5, 2, 1, 1, 2, 1, 3, 0, 1, 4, 5, 8, 3]"
42424,139,validation,"[6, 4, 3, 0, 5, 5, 6, 1, 5, 2, 5, 14, 4, 2, 0, 6, 2, 1, 1, 2, 4, 3, 1, 0, 3, 1, 2, 2, 3, 4, 7, 3, 2, 3, 4, 6, 4, 1, 8, 0, 3, 2, 9, 5, 0, 1, 2, 1, 1, 8, 5, 5, 4, 3, 5, 2, 2, 2, 10, 4, 4, 1, 7, 6, 7, 4, 7, 4, 5, 7, 13, 18, 4, 2, 5, 5, 6, 4, 15, 4, 5, 6, 30, 8, 8, 3, 2, 1, 0, 8, 5, 7, 6, 0, 4, 6, 2, 9, 7, 5, 6, 7, 19, 6, 4, 10, 5, 10, 7, 9, 0, 8, 3, 3, 7, 2, 11, 15, 5, 2, 2, 4, 8, 6, 9, 11, 8, 6, 13, 4, 11, 10, 15, 6, 7, 6, 2, 12, 3]"
42496,140,test,"[9, 3, 7, 3, 6, 0, 1, 0, 0, 1, 0, 1, 5, 2, 5, 9, 0, 8, 3, 1, 1, 4, 3, 2, 7, 2, 10, 4, 11, 5, 6, 2, 3, 1, 2, 12, 0, 2, 6, 6, 4, 7, 2, 3, 4, 7, 0, 4, 3, 5, 3, 2, 5, 0, 0, 0, 7, 2, 6, 10, 3, 3, 11, 1, 6, 4, 10, 7, 4, 4, 33, 39, 5, 0, 7, 8, 4, 4, 3, 3, 1, 2, 2, 17, 5, 15, 1, 2, 4, 4, 16, 14, 6, 1, 5, 1, 4, 7, 12, 1, 6, 0, 1, 10, 13, 3, 6, 2, 2, 8, 8, 3, 5, 6, 5, 4, 2, 6, 3, 6, 14, 4, 13, 13, 4, 8, 0, 1, 3, 5, 2, 7, 6, 7, 1, 2, 6, 8, 4, 8]"
43630,140,test,"[1, 3, 5, 3, 6, 4, 5, 1, 3, 9, 1, 2, 3, 0, 5, 4, 5, 3, 3, 3, 4, 2, 1, 5, 1, 3, 4, 4, 5, 8, 8, 3, 1, 5, 5, 5, 2, 3, 3, 8, 4, 0, 4, 2, 10, 3, 2, 5, 1, 6, 4, 4, 1, 2, 5, 5, 3, 5, 6, 4, 1, 4, 10, 4, 2, 4, 3, 8, 4, 17, 1, 5, 1, 2, 2, 4, 4, 5, 2, 3, 1, 3, 6, 3, 3, 3, 3, 3, 5, 2, 0, 6, 2, 3, 9, 0, 1, 1, 4, 10, 7, 1, 2, 3, 0, 9, 2, 5, 3, 4, 5, 5, 7, 9, 3, 14, 6, 2, 2, 9, 9, 10, 3, 4, 6, 2, 4, 4, 2, 4, 12, 6, 7, 8, 6, 6, 3, 2, 2, 6]"
43657,140,validation,"[1, 1, 1, 0, 3, 2, 2, 1, 3, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 4, 0, 3, 7, 0, 1, 1, 2, 1, 1, 2, 1, 0, 1, 4, 1, 0, 0, 2, 1, 2, 1, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 4, 0, 2, 3, 0, 3, 1, 0, 1, 1, 1, 1, 2, 1, 0, 1, 5, 1, 0, 2, 1, 0, 2, 2, 5, 1, 1, 1, 1, 0, 1, 1, 1, 3, 1, 1, 2, 0, 4, 1, 2, 0, 0, 2, 1, 2, 0, 0, 1, 0, 2, 0, 3, 0, 1, 2, 3, 0, 2, 1, 3, 3, 3, 4, 0, 1, 4, 4, 8, 3, 3, 1, 0, 1, 1]"
43738,140,test,"[2, 2, 6, 1, 0, 4, 1, 0, 1, 4, 2, 0, 7, 0, 3, 0, 1, 0, 2, 2, 0, 1, 3, 0, 3, 0, 0, 0, 5, 1, 4, 0, 1, 1, 1, 0, 1, 1, 0, 2, 1, 0, 2, 6, 0, 1, 0, 1, 1, 3, 4, 2, 7, 2, 0, 4, 3, 2, 9, 0, 1, 1, 4, 7, 1, 3, 3, 1, 4, 1, 2, 4, 4, 2, 1, 5, 0, 3, 3, 4, 10, 4, 5, 5, 0, 0, 0, 3, 2, 3, 0, 3, 0, 1, 1, 0, 2, 0, 13, 6, 3, 2, 10, 5, 1, 3, 3, 6, 3, 8, 3, 6, 2, 3, 3, 4, 1, 2, 3, 1, 2, 4, 5, 2, 1, 2, 2, 4, 1, 3, 11, 5, 3, 1, 6, 2, 0, 3, 5, 2]"
48940,139,test,"[2, 0, 0, 0, 9, 1, 0, 0, 0, 0, 1, 11, 0, 3, 1, 0, 0, 2, 0, 1, 0, 4, 1, 0, 2, 0, 3, 0, 5, 2, 0, 0, 0, 7, 1, 4, 0, 0, 0, 3, 1, 6, 2, 0, 0, 1, 0, 2, 5, 3, 7, 2, 1, 1, 10, 0, 4, 0, 1, 1, 1, 4, 2, 2, 0, 0, 2, 0, 0, 0, 1, 3, 0, 0, 2, 3, 4, 2, 1, 14, 1, 1, 0, 5, 2, 0, 1, 2, 0, 6, 6, 2, 1, 1, 3, 2, 2, 3, 1, 9, 0, 0, 10, 11, 3, 1, 0, 0, 0, 0, 1, 4, 2, 2, 10, 0, 0, 2, 8, 5, 3, 3, 1, 2, 4, 2, 2, 3, 0, 3, 2, 7, 1, 3, 0, 4, 4, 6, 5]"
50785,140,validation,"[3, 4, 2, 3, 5, 0, 1, 3, 5, 1, 0, 2, 0, 0, 1, 2, 0, 1, 0, 0, 1, 1, 1, 6, 3, 2, 2, 1, 2, 4, 8, 1, 4, 1, 14, 4, 2, 2, 0, 2, 6, 0, 1, 1, 2, 4, 0, 0, 3, 3, 4, 7, 4, 4, 5, 2, 8, 1, 0, 2, 3, 0, 0, 0, 0, 5, 1, 3, 4, 2, 2, 3, 0, 1, 2, 4, 0, 0, 0, 0, 1, 1, 0, 2, 1, 2, 0, 0, 0, 1, 1, 0, 2, 2, 0, 0, 3, 1, 1, 0, 0, 1, 3, 6, 7, 1, 0, 1, 1, 1, 0, 4, 8, 2, 13, 5, 7, 16, 0, 0, 2, 3, 2, 5, 0, 2, 1, 0, 0, 0, 1, 1, 2, 17, 24, 20, 16, 2, 8, 12]"
52099,138,test,"[9, 0, 1, 0, 0, 2, 4, 0, 0, 1, 0, 4, 0, 0, 2, 2, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 0, 0, 0, 2, 3, 3, 2, 1, 2, 2, 0, 0, 3, 4, 4, 1, 17, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 10, 2, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 2, 1, 5, 2, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 0, 2, 0, 0, 2, 1, 2, 2]"
57058,138,test,"[3, 2, 1, 3, 0, 3, 2, 1, 1, 0, 0, 1, 4, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 1, 2, 1, 3, 2, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2, 2, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 8, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 2, 1, 0, 1, 1, 3, 3, 0, 3, 2, 0, 0, 0, 1, 1, 0, 1, 2, 2, 0, 0, 0, 3, 0, 16, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 1, 5, 0, 1, 2, 2, 3, 2, 1, 1, 0, 0, 0, 0, 1, 1, 3, 0, 0, 2]"
